"",id,tweet_url,created_at,parsed_created_at,user_screen_name,text,original_text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified,hour,date,mentioned_accounts,nb_words,nb_chars,nb_mentions,nb_hashtags,nb_urls,emojis,emojis_names,nb_emojis,part,vaccine name,product name,company name,side effects,risks,benefits,vaccine benefits,organization,vaccine type,regulatory status,clinical trial phase,vaccination campaign,adverse reaction,immunization rate,public health policy,vaccine efficacy,vaccine safety,population segment,marketing strategy,public opinion,government funding,regulatory decision,economic impact,sickness name
1,1223349142434521095,https://twitter.com/jackounette/status/1223349142434521095,Fri Jan 31 20:55:38 +0000 2020,2020-01-31 20:55:38,jackounette,@JanssenFRA:,RT @JanssenFRA:,retweet,"","","","",8,"","","",fr,"","",7,1223263588699267072,JanssenFRA,2383997420,"""<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""",634837836,Fri Jul 13 18:09:13 +0000 2012,TRUE,my views are own - #psychiatrie #Janssen #Schizophrénie #Santé mentale - un peu d’IA en santé aussi,13518,286,306,2,Bordeaux France,johanna beaubrun,11514,"","",FALSE,20,2020-01-31,JanssenFRA,2,15,1,0,0,"","",0,1,"","","","","","","","","","","","","","","","","","","","","","","",""
2,1322676445538357248,https://twitter.com/Complotismus/status/1322676445538357248,Sat Oct 31 23:06:53 +0000 2020,2020-10-31 23:06:53,Complotismus,Des poursuites sont-elles envisageables contre @sanofi @SanofiFR pour rétention de médicaments ? @DIVIZIO1 @raoult_didier,Des poursuites sont-elles envisageables contre @sanofi @SanofiFR pour rétention de médicaments ? @DIVIZIO1 @raoult_didier https://t.co/BP13rC7lvF,quote,"","","",https://twitter.com/RTenfrancais/status/1322268067066449927,1,"","","",fr,"",FALSE,0,1322268067066449927,RTenfrancais,3028247758,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1222889694574383104,Thu Jan 30 14:30:42 +0000 2020,FALSE,"Diversité, beauté du monde MAIS identités. Pragmatique, sémantique. Civilité, sincérité, argumentation.. Les fachos sont-ils ceux qu'on dit ? #FREXIT 🇨🇵🇮🇱🐈",27478,603,1555,1,France,COMPLOTISMUS,42993,"","",FALSE,23,2020-10-31,sanofi SanofiFR DIVIZIO1 raoult_didier,18,145,4,0,1,"","",0,1,"","","","","","","","sanofi, SanofiFR","","","","","","","","","","","","","","","",""
3,1311457916961030150,https://twitter.com/JJDreau/status/1311457916961030150,Thu Oct 01 00:08:27 +0000 2020,2020-10-01 00:08:27,JJDreau,Covid-19: pas de résultats avant l'élection américaine pour les essais cliniques du vaccin de Moderna (@ivancouronne #AFP),Covid-19: pas de résultats avant l'élection américaine pour les essais cliniques du vaccin de Moderna  (@ivancouronne #AFP) https://t.co/EDJiqpPXjP,retweet,"",afp,"","",0,"","","",fr,"","",1,1311440795912765440,jcartillier,100248020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2677377368,Thu Jul 24 15:37:14 +0000 2014,FALSE,"Le bout du monde, c'est en bas de chez moi....",3479,71,751,4,"",Amok,20634,"","",FALSE,0,2020-10-01,ivancouronne,23,147,1,1,1,"","",0,1,"","",Moderna,"","","","","","","","","","","","","","","","","","","","",""
4,1311458843248021504,https://twitter.com/FR24NewsFrance/status/1311458843248021504,Thu Oct 01 00:12:08 +0000 2020,2020-10-01 00:12:08,FR24NewsFrance,Exclusif: la FDA élargit l’enquête américaine sur la sécurité du vaccin contre le coronavirus AstraZeneca sources,Exclusif: la FDA élargit l’enquête américaine sur la sécurité du vaccin contre le coronavirus AstraZeneca – sources https://t.co/0IQyznrLrD,original,"","","",https://www.fr24news.com/fr/a/2020/10/exclusif-la-fda-elargit-lenquete-americaine-sur-la-securite-du-vaccin-contre-le-coronavirus-astrazeneca-sources.html,0,"","","",fr,"",FALSE,0,"","","","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",1245483551749005312,Wed Apr 01 22:50:04 +0000 2020,FALSE,FR24 News France,0,107,1,2,"",FR24 NEWS,338665,"","",FALSE,0,2020-10-01,"",21,139,0,0,1,"","",0,1,"","",AstraZeneca,"","","","",FDA,"","","","","","","","",sécurité,"","","","","","",""
5,1311463112877510659,https://twitter.com/411emilio/status/1311463112877510659,Thu Oct 01 00:29:06 +0000 2020,2020-10-01 00:29:06,411emilio,Bien!!! Coronavirus latest: Moderna vaccine candidate elicits strong immune response’ in older patients via @FT,Bien!!! Coronavirus latest: Moderna vaccine candidate elicits ‘strong immune response’ in older patients via @FT  https://t.co/w2iYthvW0I,retweet,"","","","",8,"","","",fr,"","",1,1311222279989329921,conderuiz,927847915,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2679109831,Fri Jul 25 08:46:39 +0000 2014,FALSE,"",13293,3620,704,648,"",emilio lindosa lucas,481924,"","",FALSE,0,2020-10-01,FT,19,137,1,0,1,"","",0,1,Moderna vaccine candidate,"","","","","","","","","","","","","","","","",older patients,"","","","","",""
6,1311464942667735041,https://twitter.com/SsydeaR/status/1311464942667735041,Thu Oct 01 00:36:22 +0000 2020,2020-10-01 00:36:22,SsydeaR,"à tous les ""vaccinolâtres"" qui prétendent que 2 lignées de cellules humaines seulement depuis des décennies servent aux vaccins, il va falloir revoir votre copie. Dr Plotkin en commission : il a utilisé plus de 700 foetus coupés en morceaux pour les seules cultures de SANOFI.","à tous les ""vaccinolâtres"" qui prétendent que 2 lignées de cellules humaines seulement depuis des décennies servent aux vaccins, il va falloir revoir votre copie. Dr Plotkin en commission : il a utilisé plus de 700 foetus coupés en morceaux pour les seules cultures de SANOFI. https://t.co/9BUP7J1rPS",retweet,"","","","",74,"","","",fr,"","",75,1311244028390912000,ADv_in21,1243861395759935488,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1252899638937616384,Wed Apr 22 09:59:09 +0000 2020,FALSE,🇫🇷🇮🇹 un long fleuve pas très tranquille 😷😭😡,17996,391,745,1,"",SN06,22025,"","",FALSE,0,2020-10-01,"",49,300,0,0,1,"","",0,1,"","",SANOFI,"","","","","","","","","","","","","","","","","","","","",""
7,1311468986278842368,https://twitter.com/solarcx69/status/1311468986278842368,Thu Oct 01 00:52:26 +0000 2020,2020-10-01 00:52:26,solarcx69,"à tous les ""vaccinolâtres"" qui prétendent que 2 lignées de cellules humaines seulement depuis des décennies servent aux vaccins, il va falloir revoir votre copie. Dr Plotkin en commission : il a utilisé plus de 700 foetus coupés en morceaux pour les seules cultures de SANOFI.","à tous les ""vaccinolâtres"" qui prétendent que 2 lignées de cellules humaines seulement depuis des décennies servent aux vaccins, il va falloir revoir votre copie. Dr Plotkin en commission : il a utilisé plus de 700 foetus coupés en morceaux pour les seules cultures de SANOFI. https://t.co/9BUP7J1rPS",retweet,"","","","",74,"","","",fr,"","",75,1311244028390912000,ADv_in21,1243861395759935488,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2919453322,Sat Dec 13 10:55:24 +0000 2014,FALSE,"",47808,465,523,4,"",A voir,80309,"","",FALSE,0,2020-10-01,"",49,300,0,0,1,"","",0,1,"","",SANOFI,"","","","","","","","","","","","","","","","","","","","",""
8,1311470908276699136,https://twitter.com/fleloo10/status/1311470908276699136,Thu Oct 01 01:00:05 +0000 2020,2020-10-01 01:00:05,fleloo10,Êtes vous prêt à entendre la composition des vaccins ? Le témoignage hallucinant et sans remords du créateur de tous les vaccins du Monde et ancien consultant pour SANOFI PASTEUR le Docteur Stanley PLOTKIN sur la composition des vaccins ! Prêt pour le vaccin COVID19 ?,💥Êtes vous prêt à entendre la composition des vaccins💉😂? Le témoignage hallucinant et sans remords du créateur de tous les vaccins💉💉du Monde🌍et ancien consultant pour SANOFI PASTEUR le Docteur🥼Stanley PLOTKIN sur la composition des vaccins😁! Prêt pour le vaccin COVID19😂? https://t.co/FCLeCMWHus,retweet,"","","","",786,"","","",fr,"","",955,1311218589777657857,GaumontRene,1205119072557502464,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",831322572323225600,Tue Feb 14 02:02:01 +0000 2017,FALSE,"",16006,189,540,1,"",Fleloo10,21133,"","",FALSE,1,2020-10-01,"",47,304,0,0,1,"💥, 💉, 😂, 💉, 💉, 🌍, 🥼, 😁, 😂","collision, syringe, face with tears of joy, syringe, syringe, globe showing Europe-Africa, lab coat, beaming face with smiling eyes, face with tears of joy",9,1,"","","","","","","",SANOFI PASTEUR,"","","","","","","","","","","","","","","",""
9,1311474816537550854,https://twitter.com/_Guy___/status/1311474816537550854,Thu Oct 01 01:15:36 +0000 2020,2020-10-01 01:15:36,_Guy___,Êtes vous prêt à entendre la composition des vaccins ? Le témoignage hallucinant et sans remords du créateur de tous les vaccins du Monde et ancien consultant pour SANOFI PASTEUR le Docteur Stanley PLOTKIN sur la composition des vaccins ! Prêt pour le vaccin COVID19 ?,💥Êtes vous prêt à entendre la composition des vaccins💉😂? Le témoignage hallucinant et sans remords du créateur de tous les vaccins💉💉du Monde🌍et ancien consultant pour SANOFI PASTEUR le Docteur🥼Stanley PLOTKIN sur la composition des vaccins😁! Prêt pour le vaccin COVID19😂? https://t.co/FCLeCMWHus,retweet,"","","","",786,"","","",fr,"","",955,1311218589777657857,GaumontRene,1205119072557502464,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",303518896,Mon May 23 00:59:52 +0000 2011,FALSE,"",24844,1772,2172,35,"",Guy Fournier,110353,"","",FALSE,1,2020-10-01,"",47,304,0,0,1,"💥, 💉, 😂, 💉, 💉, 🌍, 🥼, 😁, 😂","collision, syringe, face with tears of joy, syringe, syringe, globe showing Europe-Africa, lab coat, beaming face with smiling eyes, face with tears of joy",9,1,"","","","","","","",SANOFI PASTEUR,"","","","","","","","","","","","","","","",""
10,1311477066676736001,https://twitter.com/fdf28439493/status/1311477066676736001,Thu Oct 01 01:24:33 +0000 2020,2020-10-01 01:24:33,fdf28439493,Êtes vous prêt à entendre la composition des vaccins ? Le témoignage hallucinant et sans remords du créateur de tous les vaccins du Monde et ancien consultant pour SANOFI PASTEUR le Docteur Stanley PLOTKIN sur la composition des vaccins ! Prêt pour le vaccin COVID19 ?,💥Êtes vous prêt à entendre la composition des vaccins💉😂? Le témoignage hallucinant et sans remords du créateur de tous les vaccins💉💉du Monde🌍et ancien consultant pour SANOFI PASTEUR le Docteur🥼Stanley PLOTKIN sur la composition des vaccins😁! Prêt pour le vaccin COVID19😂? https://t.co/FCLeCMWHus,retweet,"","","","",786,"","","",fr,"","",955,1311218589777657857,GaumontRene,1205119072557502464,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1245673617431711746,Thu Apr 02 11:25:19 +0000 2020,FALSE,𝙤𝙣𝙡𝙮 𝙩𝙝𝙚 𝙩𝙧𝙪𝙩𝙝!!!! 🐑🔚𝒔𝒆𝒖𝒍 𝒍𝒆 𝒃𝒊𝒆𝒏 𝒅𝒐𝒎𝒊𝒏𝒆𝒓𝒂,3105,126,142,0,"",fdf,2754,"","",FALSE,1,2020-10-01,"",47,304,0,0,1,"💥, 💉, 😂, 💉, 💉, 🌍, 🥼, 😁, 😂","collision, syringe, face with tears of joy, syringe, syringe, globe showing Europe-Africa, lab coat, beaming face with smiling eyes, face with tears of joy",9,1,"","","","","","","",SANOFI PASTEUR,"","","","","","","","","","","","","","","",""
11,1311479285425876992,https://twitter.com/FR24NewsFrance/status/1311479285425876992,Thu Oct 01 01:33:22 +0000 2020,2020-10-01 01:33:22,FR24NewsFrance,"Le vaccin contre le coronavirus Moderna ne sera pas disponible avant le jour du scrutin, selon le PDG","Le vaccin contre le coronavirus Moderna ne sera pas disponible avant le jour du scrutin, selon le PDG https://t.co/v9QxbAyxgk",original,"","","",https://www.fr24news.com/fr/a/2020/10/le-vaccin-contre-le-coronavirus-moderna-ne-sera-pas-disponible-avant-le-jour-du-scrutin-selon-le-pdg.html,0,"","","",fr,"",FALSE,0,"","","","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",1245483551749005312,Wed Apr 01 22:50:04 +0000 2020,FALSE,FR24 News France,0,108,1,2,"",FR24 NEWS,339359,"","",FALSE,1,2020-10-01,"",22,125,0,0,1,"","",0,1,Moderna,"","","","","","",PDG,"","","","","","","","","","","","","","","",""
12,1311481929481428993,https://twitter.com/CaronaUpdates/status/1311481929481428993,Thu Oct 01 01:43:52 +0000 2020,2020-10-01 01:43:52,CaronaUpdates,"Après le pré-achat de 300Mdoses à Astrazeneca-Gilead, nouvelle commande aux ""copains"" Miam ! Vaccins contre la Covid-19 : l’Union européenne signe avec Sanofi-GSK un contrat de précommande |","Après le pré-achat de 300Mdoses à Astrazeneca-Gilead, nouvelle commande aux ""copains"" Miam !  Vaccins contre la Covid-19 : l’Union européenne signe avec Sanofi-GSK un contrat de précommande | https://t.co/U2fvrgaHnf https://t.co/6NgU9GRi6y",retweet,"","","","",28,"","","",fr,"","",32,1309422873010937856,ADv_in21,1243861395759935488,"<a href=""https://twitter.com/CaronaUpdates"" rel=""nofollow"">Carona Updates</a>",1264545240414687232,Sun May 24 13:15:07 +0000 2020,FALSE,Follow for each & every Corona Virus Update. #CoronaVirus #Covid19 This Bot is created and controlled by @SukhpreetSS_YT,51,662,1,2,"",Corona Virus Updates,97953,"","",FALSE,1,2020-10-01,"",38,239,0,0,2,"","",0,1,"","","Astrazeneca-Gilead, Sanofi-GSK","","","","",Union européenne,"","","","","","","","","","","","","","","",""
13,1311486718911164416,https://twitter.com/jijijojo45/status/1311486718911164416,Thu Oct 01 02:02:54 +0000 2020,2020-10-01 02:02:54,jijijojo45,"à tous les ""vaccinolâtres"" qui prétendent que 2 lignées de cellules humaines seulement depuis des décennies servent aux vaccins, il va falloir revoir votre copie. Dr Plotkin en commission : il a utilisé plus de 700 foetus coupés en morceaux pour les seules cultures de SANOFI.","à tous les ""vaccinolâtres"" qui prétendent que 2 lignées de cellules humaines seulement depuis des décennies servent aux vaccins, il va falloir revoir votre copie. Dr Plotkin en commission : il a utilisé plus de 700 foetus coupés en morceaux pour les seules cultures de SANOFI. https://t.co/9BUP7J1rPS",retweet,"","","","",74,"","","",fr,"","",75,1311244028390912000,ADv_in21,1243861395759935488,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",533564748,Thu Mar 22 20:39:20 +0000 2012,FALSE,"",11997,118,275,1,"",jijijojo,11446,"","",FALSE,2,2020-10-01,"",49,300,0,0,1,"","",0,1,"","",SANOFI,"","","","","","","","","","","","","","","","","","","","",""
14,1311490514437443585,https://twitter.com/Du_BonJeu/status/1311490514437443585,Thu Oct 01 02:17:59 +0000 2020,2020-10-01 02:17:59,Du_BonJeu,Êtes vous prêt à entendre la composition des vaccins ? Le témoignage hallucinant et sans remords du créateur de tous les vaccins du Monde et ancien consultant pour SANOFI PASTEUR le Docteur Stanley PLOTKIN sur la composition des vaccins ! Prêt pour le vaccin COVID19 ?,💥Êtes vous prêt à entendre la composition des vaccins💉😂? Le témoignage hallucinant et sans remords du créateur de tous les vaccins💉💉du Monde🌍et ancien consultant pour SANOFI PASTEUR le Docteur🥼Stanley PLOTKIN sur la composition des vaccins😁! Prêt pour le vaccin COVID19😂? https://t.co/FCLeCMWHus,retweet,"","","","",788,"","","",fr,"","",956,1311218589777657857,GaumontRene,1205119072557502464,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",510934576,Thu Mar 01 22:11:05 +0000 2012,FALSE,"0fficial's Gérard Manmieu (du_bon jeu ,)   .. que quiconque ! Si tu n'as une dose.. ni un zeste d'humour,  passe ton chemin..! ♠♥♣♦",93748,808,4309,12,France,Gerard MANMIEU,64438,"","",FALSE,2,2020-10-01,"",47,304,0,0,1,"💥, 💉, 😂, 💉, 💉, 🌍, 🥼, 😁, 😂","collision, syringe, face with tears of joy, syringe, syringe, globe showing Europe-Africa, lab coat, beaming face with smiling eyes, face with tears of joy",9,1,"","","","","","","",SANOFI PASTEUR,"","","","","","","","","","","","","","","",""
